;"Temp Consigna clima";"Temp aigua retorn Clima";"Temp aigua impulsió Clima"
"Lu 17:00";55;26;27
"Lu 17:05";55;26;26
"Lu 17:10";55;26;26
"Lu 17:15";55;25,6;26
"Lu 17:20";55;25;26
"Lu 17:25";55;25;26
"Lu 17:30";55;25;26
"Lu 17:35";55;25;26
"Lu 17:40";55;25;26
"Lu 17:45";55;25;26
"Lu 17:50";55;25;26
"Lu 17:55";55;25;26
"Lu 18:00";55;25;26
"Lu 18:05";55;25;25
"Lu 18:10";55;25;25
"Lu 18:15";55;25;25
"Lu 18:20";55;25;25
"Lu 18:25";55;25;25
"Lu 18:30";55;24,6;25
"Lu 18:35";55;24;25
"Lu 18:40";55;24;25
"Lu 18:45";55;24;25
"Lu 18:50";55;24;25
"Lu 18:55";55;24;25
"Lu 19:00";55;24;25
"Lu 19:05";55;24;25
"Lu 19:10";55;24;25
"Lu 19:15";55;24;24
"Lu 19:20";55;24;24
"Lu 19:25";55;24;24
"Lu 19:30";55;24;24
"Lu 19:35";55;24;24
"Lu 19:40";55;24;24
"Lu 19:45";55;24;24
"Lu 19:50";55;24;24
"Lu 19:55";55;24;24
"Lu 20:00";55;23,8;24
"Lu 20:05";55;23;24
"Lu 20:10";55;23;24
"Lu 20:15";55;23;24
"Lu 20:20";55;23;24
"Lu 20:25";55;23;24
"Lu 20:30";55;23;24
"Lu 20:35";55;23;24
"Lu 20:40";55;23;24
"Lu 20:45";55;23;23
"Lu 20:50";55;23;23
"Lu 20:55";55;23;23
"Lu 21:00";55;23;23
"Lu 21:05";55;23;23
"Lu 21:10";55;23;23
"Lu 21:15";55;23;23
"Lu 21:20";55;23;23
"Lu 21:25";55;22;23
"Lu 21:30";55;22;23
"Lu 21:35";55;22;23
"Lu 21:40";55;22;23
"Lu 21:45";55;22;23
"Lu 21:50";55;22;23
"Lu 21:55";55;22;23
"Lu 22:00";55;22;23
"Lu 22:05";55;22;22
"Lu 22:10";55;22;22
"Lu 22:15";55;22;22
"Lu 22:20";55;22;22
"Lu 22:25";55;22;22
"Lu 22:30";55;22;22
"Lu 22:35";55;22;22
"Lu 22:40";55;22;22
"Lu 22:45";55;22;22
"Lu 22:50";55;22;22
"Lu 22:55";55;22;22
"Lu 23:00";55;22;22
"Lu 23:05";55;22;22
"Lu 23:10";55;22;22
"Lu 23:15";55;22;22
"Lu 23:20";55;22;22
"Lu 23:25";55;22;22
"Lu 23:30";55;22;22
"Lu 23:35";55;22;22
"Lu 23:40";55;22;22
"Lu 23:45";55;22;22
"Lu 23:50";55;22;22
"Lu 23:55";55;22;22
"Ma 00:00";55;22;22
"Ma 00:05";55;22;22
"Ma 00:10";55;22;22
"Ma 00:15";55;22;22
"Ma 00:20";55;22;22
"Ma 00:25";55;22;22
"Ma 00:30";55;21,6;22
"Ma 00:35";55;21,6;22
"Ma 00:40";55;21;22
"Ma 00:45";55;21;22
"Ma 00:50";55;21;22
"Ma 00:55";55;21;22
"Ma 01:00";55;21;21
"Ma 01:05";55;21;21
"Ma 01:10";55;21;21
"Ma 01:15";55;21;21
"Ma 01:20";55;21;21
"Ma 01:25";55;21;21
"Ma 01:30";55;21;21
"Ma 01:35";55;21;21
"Ma 01:40";55;21;21
"Ma 01:45";55;21;21
"Ma 01:50";55;21;21
"Ma 01:55";55;21;21
"Ma 02:00";55;21;21
"Ma 02:05";55;21;21
"Ma 02:10";55;21;21
"Ma 02:15";55;21;21
"Ma 02:20";55;21;21
"Ma 02:25";55;21;21
"Ma 02:30";55;21;21
"Ma 02:35";55;21;21
"Ma 02:40";55;21;21
"Ma 02:45";55;21;21
"Ma 02:50";55;21;21
"Ma 02:55";55;21;21
"Ma 03:00";55;21;21
"Ma 03:05";55;21;21
"Ma 03:10";55;21;21
"Ma 03:15";55;21;21
"Ma 03:20";55;21;21
"Ma 03:25";55;21;21
"Ma 03:30";55;21;21
"Ma 03:35";55;21;21
"Ma 03:40";55;21;21
"Ma 03:45";55;21;21
"Ma 03:50";55;21;21
"Ma 03:55";55;21;21
"Ma 04:00";55;21;21
"Ma 04:05";55;21;21
"Ma 04:10";55;21;21
"Ma 04:15";55;21;21
"Ma 04:20";55;21;21
"Ma 04:25";55;21;21
"Ma 04:30";55;21;21
"Ma 04:35";55;21;21
"Ma 04:40";55;21;21
"Ma 04:45";55;21;21
"Ma 04:50";55;21;21
"Ma 04:55";55;21;21
"Ma 05:00";55;21;21
"Ma 05:05";55;21;21
"Ma 05:10";55;21;21
"Ma 05:15";55;21;21
"Ma 05:20";55;21;21
"Ma 05:25";55;21;21
"Ma 05:30";55;21;21
"Ma 05:35";55;40,8;41
"Ma 05:40";55;35,4;39
"Ma 05:45";55;34,6;39
"Ma 05:50";55;35,6;40
"Ma 05:55";55;36,8;41
"Ma 06:00";55;37,6;42
"Ma 06:05";55;38,8;43
"Ma 06:10";55;39,8;45
